wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59342	-45.0387	-49.0327	-42.6787	-42.0047	-39.0024	-36.5446	-16.9456	-5.33054
1.59341	-50.8214	-53.6406	-44.3281	-39.51	-37.5308	-35.0997	-17.8112	-4.88658
1.5934	-50.9898	-48.3057	-44.3656	-37.6565	-36.9076	-34.7578	-18.9095	-4.56596
1.59339	-44.8374	-44.0841	-43.1472	-36.5182	-37.0117	-35.3612	-20.3104	-4.37438
1.59339	-41.0034	-41.6464	-41.8337	-35.9941	-37.8442	-36.9982	-22.0905	-4.31612
1.59338	-38.5644	-40.3068	-40.9232	-36.0059	-39.536	-40.1009	-24.3457	-4.39483
1.59337	-36.965	-39.7724	-40.5066	-36.5003	-42.4566	-46.0094	-27.1923	-4.61398
1.59336	-35.9477	-39.9369	-40.5774	-37.4177	-47.6156	-49.9983	-30.6756	-4.97713
1.59335	-35.3757	-40.8068	-41.1252	-38.6171	-54.203	-42.1805	-34.1093	-5.48801
1.59334	-35.166	-42.4939	-42.1584	-39.7379	-47.3115	-37.8857	-35.068	-6.15027
1.59333	-35.26	-45.2301	-43.711	-40.1845	-42.596	-35.4333	-33.767	-6.96685
1.59332	-35.607	-48.984	-45.8465	-39.6926	-39.9994	-34.04	-32.6304	-7.93855
1.59331	-36.1528	-49.976	-48.6558	-38.718	-38.5874	-33.4061	-32.3233	-9.06126
1.5933	-36.8319	-46.2658	-52.2039	-37.8102	-38.0168	-33.4123	-32.9185	-10.321
1.59329	-37.5673	-43.0114	-56.2312	-37.2436	-38.1701	-34.0325	-34.5425	-11.6858
1.59328	-38.2854	-40.8556	-59.4972	-37.12	-39.0593	-35.3119	-37.6473	-13.095
1.59328	-38.9463	-39.5279	-61.4501	-37.4893	-40.837	-37.3608	-43.992	-14.4533
1.59327	-39.5715	-38.8438	-64.7641	-38.406	-43.9283	-40.2549	-58.4796	-15.6466
1.59326	-40.2453	-38.708	-71.6284	-39.9511	-49.532	-43.0705	-41.688	-16.5935
1.59325	-41.0922	-39.0811	-61.5663	-42.2052	-55.0031	-42.4317	-36.6654	-17.3034
1.59324	-42.2582	-39.9603	-55.0547	-44.9255	-47.3382	-39.5793	-34.0065	-17.8787
1.59323	-43.9162	-41.3594	-51.1046	-46.2633	-42.8561	-37.2558	-32.5138	-18.4584
1.59322	-46.2993	-43.246	-48.5087	-44.5377	-40.331	-35.7734	-31.7878	-19.1685
1.59321	-49.7065	-45.2951	-46.8323	-42.1166	-38.91	-35.0088	-31.6469	-20.108
1.5932	-53.6121	-46.4072	-45.8896	-40.3159	-38.2742	-34.8696	-31.9828	-21.3596
1.59319	-53.0554	-45.6434	-45.6112	-39.2291	-38.3024	-35.3279	-32.6886	-23.0087
1.59318	-49.4852	-43.9871	-46.0041	-38.7777	-38.9793	-36.4199	-33.5845	-25.1656
1.59317	-46.8634	-42.472	-47.1439	-38.9079	-40.3819	-38.2596	-34.3434	-27.9894
1.59316	-45.2907	-41.3573	-49.1356	-39.6044	-42.7125	-41.0571	-34.5732	-31.6666
1.59316	-44.5364	-40.6054	-51.6478	-40.8719	-46.3431	-44.8542	-34.1741	-35.7964
1.59315	-44.4824	-40.1061	-52.0028	-42.6569	-50.7061	-46.8406	-33.4578	-36.9369
1.59314	-45.1115	-39.7312	-48.967	-44.5487	-49.1239	-43.9561	-32.7956	-34.7316
1.59313	-46.5073	-39.3641	-45.8045	-45.3104	-45.0099	-40.9711	-32.4076	-32.8771
1.59312	-48.9114	-38.936	-43.4434	-44.2345	-42.2871	-39.0764	-32.3963	-31.9711
1.59311	-52.9084	-38.4518	-41.8047	-42.5416	-40.6882	-38.0806	-32.8168	-31.8795
1.5931	-59.1774	-37.9785	-40.7586	-41.1876	-39.9165	-37.8256	-33.7154	-32.4895
1.59309	-57.4561	-37.608	-40.2251	-40.4113	-39.8348	-38.2561	-35.1377	-33.7307
1.59308	-52.1836	-37.4274	-40.169	-40.2443	-40.4082	-39.4078	-37.0728	-35.4695
1.59307	-49.212	-37.5106	-40.5941	-40.7099	-41.6809	-41.419	-39.1643	-37.2136
1.59306	-47.6345	-37.9249	-41.5477	-41.8814	-43.7646	-44.5302	-40.1164	-37.8668
1.59305	-47.0192	-38.7448	-43.1432	-43.9086	-46.6908	-48.3755	-39.0022	-37.0265
1.59305	-47.2061	-40.0707	-45.6277	-46.9316	-49.1749	-48.3284	-37.1342	-35.7233
1.59304	-48.1655	-42.054	-49.6061	-49.791	-47.907	-44.7793	-35.5726	-34.7315
1.59303	-49.9091	-44.9017	-56.9558	-48.3049	-45.0139	-42.0819	-34.5463	-34.2648
1.59302	-52.1675	-48.4707	-59.1966	-44.9514	-42.8081	-40.4846	-34.048	-34.3404
1.59301	-53.2441	-49.6724	-51.5058	-42.4667	-41.4556	-39.7589	-34.0462	-34.9172
1.593	-51.4486	-46.7453	-47.7535	-40.9271	-40.8352	-39.7864	-34.5279	-35.8743
1.59299	-48.8537	-43.8746	-45.6649	-40.1674	-40.8742	-40.5505	-35.5055	-36.8732
1.59298	-46.8096	-41.9649	-44.4726	-40.1083	-41.5682	-42.1061	-37.0128	-37.2577
1.59297	-45.4339	-40.8605	-43.8163	-40.7649	-42.9739	-44.4411	-39.0761	-36.5996
1.59296	-44.6178	-40.4207	-43.4388	-42.2622	-45.1625	-46.5696	-41.5642	-35.331
1.59295	-44.228	-40.5847	-43.1062	-44.881	-47.807	-45.657	-43.681	-34.087
1.59294	-44.0993	-41.3606	-42.6347	-48.7919	-48.6729	-42.7636	-43.9807	-33.1817
1.59294	-43.9988	-42.8311	-41.9701	-49.8696	-46.414	-40.262	-42.8699	-32.7171
1.59293	-43.6518	-45.1812	-41.2037	-45.4397	-43.7884	-38.5224	-41.8224	-32.7305
1.59292	-42.8969	-48.6902	-40.4903	-41.7311	-41.8852	-37.4576	-41.4256	-33.2616
1.59291	-41.8189	-52.5767	-39.9674	-39.2346	-40.7187	-36.9817	-41.8402	-34.3873
1.5929	-40.6462	-51.4075	-39.7343	-37.5916	-40.2028	-37.0577	-43.2354	-36.2582
